ライフステージ,カテゴリ,タスク名,優先度,期限,必要書類,担当窓口,理由・説明,メモ・ヒント
相続手続き,準備,相続人の確定,高,速やかに,戸籍謄本,市区町村役場,相続手続きの前提,出生から死亡まで連続した戸籍
相続手続き,準備,遺言書の確認,高,速やかに,遺言書,家庭裁判所,遺産分割方針決定のため,自筆証書遺言は検認必要
相続手続き,手続き,相続放棄・限定承認の判断,高,3ヶ月以内,戸籍謄本・印鑑,家庭裁判所,債務超過の場合の選択,期限厳守
相続手続き,準備,遺産目録の作成,高,速やかに,通帳・証券・権利証等,家族,遺産総額把握のため,債務も含めて整理
相続手続き,準備,遺産分割協議,高,なし,印鑑証明書,相続人全員,遺産分配決定のため,協議書作成が必要
相続手続き,手続き,預貯金の名義変更・払い戻し,中,なし,戸籍謄本・遺産分割協議書,各金融機関,相続財産の処理,各行で必要書類が異なる
相続手続き,手続き,不動産の相続登記,高,死亡後3年以内,戸籍謄本・遺産分割協議書・登記申請書,法務局,2024年より義務化,登録免許税の計算必要
相続手続き,手続き,自動車の名義変更,中,なし,戸籍謄本・車検証,運輸支局,所有権移転のため,廃車の場合も名義変更後
相続手続き,金銭管理,生命保険金の請求,中,3年以内,死亡診断書・保険証券,保険会社,保険金受領のため,みなし相続財産として課税対象
相続手続き,手続き,準確定申告,高,4ヶ月以内,源泉徴収票・医療費領収書,税務署,所得税精算のため,医療費控除の適用可能
相続手続き,手続き,相続税申告・納付,高,10ヶ月以内,各種評価資料,税務署,基礎控除超過時の義務,3000万+600万×法定相続人数
実家管理,手続き,電気・ガス・水道の停止,中,退去時,なし,各事業者,空き家の安全管理,水道は最低限維持も検討
実家管理,手続き,固定電話・ネット回線の解約,中,退去時,なし,通信事業者,不要な支出削減,機器返却の立ち会い必要
実家管理,手続き,郵便物の転送届,高,退去前,印鑑,郵便局,重要書類の見逃し防止,1年間有効・更新可能
実家管理,準備,防犯対策,中,退去後,なし,家族,空き家の安全確保,定期的な見回り必要
実家管理,手続き,各種サービスの解約,低,なし,なし,各事業者,新聞・NHK・サブスク等,二段階認証は回線停止前に
